Accession	Main product	Biosynthetic class	Organism
BGC0000810	benzoxazinone DIMBOA	Alkaloid	Zea mays
BGC0000467	yersiniabactin	NRP	Yersinia enterocolitica
BGC0001498	aerobactin	Other	Xenorhabdus szentirmaii DSM 16338
BGC0001868	iodinin	Phenazine	Xenorhabdus szentirmaii DSM 16338
BGC0001873	pyrrolizixenamide A	Lipopeptide	Xenorhabdus szentirmaii DSM 16338
BGC0001716	odilorhabdins	NRP	Xenorhabdus nematophila AN6/1
BGC0001825	xenematide	NRP	Xenorhabdus nematophila AN6/1
BGC0000416	rhabdopeptide 1, rhabdopeptide 2, rhabdopeptide 3, rhabdopeptide 4	NRP	Xenorhabdus nematophila ATCC 19061
BGC0000465	xenortide A, xenortide B, xenortide C, xenortide D	NRP	Xenorhabdus nematophila ATCC 19061
BGC0001054	xenocoumacin 1, xenocoumacin II	NRP	Xenorhabdus nematophila ATCC 19061
BGC0001054	xenocoumacin 1, xenocoumacin II	Modular type I polyketide	Xenorhabdus nematophila ATCC 19061
BGC0001132	xenotetrapeptide	NRP	Xenorhabdus nematophila ATCC 19061
BGC0001692	nematophin	NRP	Xenorhabdus nematophila ATCC 19061
BGC0001757	rhabduscin	Other	Xenorhabdus nematophila ATCC 19061
BGC0001131	ambactin	NRP	Xenorhabdus miraniensis
BGC0000464	xenoamicin A, xenoamicin B	Cyclic depsipeptide	Xenorhabdus doucetiae
BGC0002008	aryl polyenes	Other	Xenorhabdus doucetiae
BGC0001130	fabclavine Ia	NRP	Xenorhabdus budapestensis
BGC0001135	bicornutin A1, bicornutin A2	NRP	Xenorhabdus budapestensis
BGC0001434	nematophin	NRP	Xenorhabdus budapestensis
BGC0001698	nevaltophin A, nevaltophin B, nevaltophin C, nevaltophin D	NRP	Xenorhabdus budapestensis
BGC0001870	putrebactin, avaroferrin	Other	Xenorhabdus budapestensis
BGC0000189	3-(2'-hydroxy-3'-oxo-4'-methylpentyl)-indole, 3-(2'-hydroxy-3'-oxo-4'-methylhexyl)-indole, 3-(2'-acetoxy-3'-oxo-4'-methylpentyl)-indole, 3-(2'-acetoxy-3'-oxo-4'-methylhexyl)-indole	Type III polyketide	Xenorhabdus bovienii SS-2004
BGC0001133	taxlllaid A	NRP	Xenorhabdus bovienii SS-2004
BGC0001872	fabclavine-polyamine	Polyketide	Xenorhabdus bovienii SS-2004
BGC0001824	xefoampeptides A-G	NRP	Xenorhabdus beddingii
BGC0001826	xeneprotides A-C	NRP	Xenorhabdus sp. KJ12.1
BGC0001130	fabclavine Ia	Polyketide	Xenorhabdus budapestensis
BGC0000783	O-antigen	Saccharide	Xanthomonas oryzae pv. oryzae
BGC0000840	xanthomonadin I	Other	Xanthomonas oryzae pv. oryzae
BGC0002005	RaxX	RiPP	Xanthomonas oryzae pv. oryzae
BGC0001408	xanthoferrin	Other	Xanthomonas oryzae pv. oryzae KACC 10331
BGC0000580	xanthomonin I, xanthomonin II	RiPP	Xanthomonas gardneri ATCC 19865
BGC0000800	xanthan	Saccharide	Xanthomonas campestris
BGC0000774	lipopolysaccharide	Lipopolysaccharide	Xanthomonas campestris pv. campestris
BGC0001088	albicidin	NRP	Xanthomonas albilineans
BGC0001088	albicidin	Polyketide	Xanthomonas albilineans
BGC0000656	zeaxanthin	Terpene	Xanthobacter autotrophicus Py2
BGC0000460	vulnibactin	NRP	Vibrio vulnificus CMCP6
BGC0000780	O&K-antigen	Saccharide	Vibrio parahaemolyticus
BGC0000946	vibrioferrin	Other	Vibrio parahaemolyticus
BGC0001890	amphi-enterobactin 1, amphi-enterobactin 2, amphi-enterobactin 3, amphi-enterobactin 4	NRP	Vibrio campbellii ATCC BAA-1116
BGC0000454	vanchrobactin	NRP	Vibrio anguillarum RV22
BGC0000947	vibrioferrin	Other	Vibrio alginolyticus
BGC0000001	abyssomicin C, atrop-abyssomicin C	Modular type I polyketide	Verrucosispora maris AB-18-032
BGC0001286	itaconic acid	Other	Ustilago maydis
BGC0001281	ustilagic acid	Polyketide	Ustilago maydis 521
BGC0001888	mannosylerythritol lipid A, mannosylerythritol lipid B, mannosylerythritol lipid C	Other	Ustilago maydis 521
BGC0000221	erdacin	Polyketide	uncultured soil bacterium V167
BGC0000477	patellin 2, patellin 3	Cyanobactin	uncultured Prochloron sp. 06037A
BGC0000476	patellamide B	Cyanobactin	uncultured Prochloron sp.
BGC0000478	patellin 6, trunkamide	Cyanobactin	uncultured Prochloron sp.
BGC0000482	trunkamide	Cyanobactin	uncultured Prochloron sp.
BGC0000350	ET-743	Beta-lactam	uncultured organism
BGC0000967	calyculin A, phosphocalyculin A, calyculinamide A, dephosphonocalyculin A	NRP	uncultured Candidatus Entotheonella sp.
BGC0000967	calyculin A, phosphocalyculin A, calyculinamide A, dephosphonocalyculin A	Trans-AT type I polyketide	uncultured Candidatus Entotheonella sp.
BGC0001630	kasumigamide	NRP	uncultured Candidatus Entotheonella sp.
BGC0001630	kasumigamide	Polyketide	uncultured Candidatus Entotheonella sp.
BGC0001110	psymberin, irciniastatin B	NRP	uncultured bacterium psy1
BGC0001110	psymberin, irciniastatin B	Trans-AT type I polyketide	uncultured bacterium psy1
BGC0001591	fatty acid enol ester	Other	uncultured bacterium CSLC2
