BGC0000001	s__Verrucosispora_maris
BGC0000002	s__Kutzneria_albida
BGC0000003	s__Alternaria_alternata
BGC0000004	s__Aspergillus_oryzae
BGC0000005	s__Aspergillus_parasiticus
BGC0000006	s__Aspergillus_flavus
BGC0000007	s__Aspergillus_flavus
BGC0000008	s__Aspergillus_flavus
BGC0000009	s__Aspergillus_nomius
BGC0000010	s__Aspergillus_flavus
BGC0000011	s__Aspergillus_ochraceoroseus
BGC0000012	s__Alternaria_solani
BGC0000013	s__Aspergillus_nidulans
BGC0000014	s__Sorangium_cellulosum
BGC0000015	s__Streptomyces_nodosus
BGC0000016	s__Streptomyces_nodosus
BGC0000017	s__Oscillatoria_sp_PCC_6506
BGC0000018	s__Streptomyces_eurythermus
BGC0000019	s__Streptomyces_eurythermus
BGC0000020	s__Actinosynnema_pretiosum
BGC0000021	s__Nocardiopsis_sp_FU_40
BGC0000022	s__Aspergillus_nidulans
BGC0000023	s__Stigmatella_aurantiaca
BGC0000024	s__Streptomyces_thioluteus
BGC0000025	s__Streptomyces_avermitilis
BGC0000026	s__Streptomyces_viridochromogenes
BGC0000027	s__Monascus_pilosus
BGC0000028	s__Streptomyces_lohii
BGC0000029	s__Streptomyces_sp_DSM_21069
BGC0000030	s__Fusarium_fujikuroi
BGC0000031	s__Streptomyces_parvulus
BGC0000032	s__Streptomyces_chartreusis
BGC0000033	s__Micromonospora_echinospora
BGC0000034	s__Streptomyces_sp_FR_008
BGC0000035	s__Streptomyces_bikiniensis
BGC0000036	s__Streptomyces_antibioticus
BGC0000037	s__Aspergillus_nidulans
BGC0000038	s__Streptomyces_coelicolor
BGC0000039	s__Penicillium_citrinum
BGC0000040	s__Streptomyces_neyagawaensis
BGC0000041	s__Pseudomonas_syringae
BGC0000042	s__Streptomyces_sp_MJ635_86F5
BGC0000043	s__Moorea_producens
BGC0000044	s__Stigmatella_aurantiaca
BGC0000045	s__Aspergillus_terreus
BGC0000046	s__Alternaria_brassicicola
BGC0000047	s__Streptomyces_sp_KCTC_0041BP
BGC0000048	s__Dothistroma_septosporum
BGC0000049	s__Streptomyces_sp_Eco86
BGC0000050	s__Streptomyces_aculeolatus
BGC0000051	s__Kitasatospora_aburaviensis
BGC0000052	s__Streptomyces_aizunensis
BGC0000053	s__Unknown._Unclassified.
BGC0000054	s__Aeromicrobium_erythreum
BGC0000055	s__Saccharopolyspora_erythraea
BGC0000056	s__Actinomadura_verrucosospora
BGC0000057	s__Aspergillus_nidulans
BGC0000058	s__Streptomyces_graminofaciens
BGC0000059	s__Streptomyces_avermitilis
BGC0000060	s__Streptomyces_pulveraceus
BGC0000061	s__Streptomyces_sp_FR_008
BGC0000062	s__Fusarium_verticillioides
BGC0000063	s__Fusarium_oxysporum
BGC0000064	s__Fusarium_verticillioides
BGC0000065	s__Streptomyces_galbus
BGC0000066	s__Streptomyces_hygroscopicus
BGC0000067	s__Streptomyces_hygroscopicus
BGC0000068	s__Streptomyces_hygroscopicus
BGC0000069	s__Archangium_violaceum
BGC0000070	s__Penicillium_aethiopicum
