#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
BGC0000001_orfP_1	0.0000	1083	0.7138	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_NULL_2	0.0000	627	0.6794	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyR_3	0.0000	747	0.6961	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyX_4	0.0000	1191	0.6986	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyH_5	0.0000	2670	0.7502	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyI_6	0.0000	759	0.7101	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyK_7	0.0000	1860	0.7161	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyA1_8	0.0000	1026	0.7212	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyA2_9	0.0000	1869	0.7309	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyA3_10	0.0000	237	0.7131	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyA4_11	0.0000	756	0.7368	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyA5_12	0.0000	1068	0.7275	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyB1_13	0.0000	17346	0.7441	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyB2_14	0.0000	10938	0.7605	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyB3_15	0.0000	2979	0.7543	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyC_16	0.0000	693	0.7215	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyD_17	0.0000	1428	0.7164	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyE_18	0.0000	1008	0.7341	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyF1_19	0.0000	1617	0.7081	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyF2_20	0.0000	936	0.7382	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyF3_21	0.0000	852	0.7465	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyF4_22	0.0000	1620	0.7426	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyV_23	0.0000	1188	0.7256	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyW_24	0.0000	252	0.7381	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyZ_25	0.0000	579	0.7358	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_abyT_26	0.0000	897	0.7480	0.0000	0	0	0	0.0000	0	0.00
BGC0000001_orfU_27	0.0000	909	0.7437	0.0000	0	0	0	0.0000	0	0.00
